"Checkbox","Secteur_activite","Forme_juridique","Code_Activite_Compte","Libelle_Activite_Compte","Code_Centre","Libelle_Centre","Code_Region","Libelle_Region","Poste_Itinerant","Code_Nature","Libelle_Nature","Code_Nature_juridique_Client","Libelle_Nature_juridique_Client","Critere_SLA","Activite_Batiment","icone","Symptome_Reference","Parametre_Contrat_Type","Limite_Contrat_Type","Code_Domaine","Libelle_Domaine","Code_Sous-domaine","Libelle_Sous-domaine","Contractuel","Importance_Equipement","Criticite_Demande","Priorite_Espace","Code_Titre","Libelle_Titre","Langue","Outil_Energies","Code_Occupation","Libelle_Occupation ","Type_Operation","Zone_Astreinte","Type_Prestations_FM","Classification_Site","Statut_Equipement","Etat_Fonctionnement","Etat_Sante","Origine","Territoire","Maintenance_Type","Code_Sous_Famille","Libelle_Sous_Famille","Code_Famille","Libelle_Famille"
"","","","","","","","","","","","","","","","","","","","","","","520.40","","","","","","","","","","","","","","","","","","","","","","010.30.CTA.TBE","TR9 Batterie Elec","010.30.SPL","Split-systèmes (Unitées intérieures + Groupe)"
"","","","","","","","","","","","","","","","","","","","","","","520.50","","","","","","","","","","","","","","","","","","","","","","010.30.CTA.TBF","TR9 Batterie Fluide","010.30.STA","Station météorologique"
"","","","","","","","","","","","","","","","","","","","","","","600.10","","","","","","","","","","","","","","","","","","","","","","010.30.CTA.TEF","TR9 Batterie Elec Batterie Fluide","010.30.SVE","Systèmes de ventilations VMC"
"","","","","","","","","","","","","","","","","","","","","","","600.20","","","","","","","","","","","","","","","","","","","","","","010.30.DHU.DES","Déshumidificateurs","010.30.UEV","Unitée extérieure VRV"
"","","","","","","","","","","","","","","","","","","","","","","600.30","","","","","","","","","","","","","","","","","","","","","","010.30.EJV.EJE","Ejecto-convecteurs","010.30.UIV","Unitée intérieure VRV"
"","","","","","","","","","","","","","","","","","","","","","","600.40","","","","","","","","","","","","","","","","","","","","","","010.30.EVP.EVA","Evaporateurs","010.30.UTA","Unités de traitement d'air"
"","","","","","","","","","","","","","","","","","","","","","","600.50","","","","","","","","","","","","","","","","","","","","","","010.30.EXT.CAI","Caisson d'extraction Courroie 2 vitesses","010.30.VCO","Ventilo-convecteurs"
"","","","","","","","","","","","","","","","","","","","","","","600.60","","","","","","","","","","","","","","","","","","","","","","010.30.EXT.ECH","Extracteur gaz d'echappement","010.30.VSO","Ventilateur autonome d'appoint"
"","","","","","","","","","","","","","","","","","","","","","","900.10","","","","","","","","","","","","","","","","","","","","","","010.30.EXT.TOU","Tourelle d'extraction entrainement direct","010.40.CON","Contrôle réglementaire Fluide frigo"
"","","","","","","","","","","","","","","","","","","","","","","900.20","","","","","","","","","","","","","","","","","","","","","","010.30.EXT.VEN","Ventilateur entrainement direct","010.40.CPF","Compteur et sous compteur production froid"
